[2020-12-02 21:30:19,948]-[util.py]-[INFO]:[打开浏览器并登录成功]
[2020-12-02 21:30:22,343]-[util.py]-[INFO]:[关闭浏览器]
[2020-12-02 21:31:48,103]-[util.py]-[INFO]:[打开浏览器并登录成功]
[2020-12-02 21:31:52,444]-[util.py]-[INFO]:[3条用例添加成功]
[2020-12-02 21:31:58,788]-[util.py]-[INFO]:[3条用例添加成功]
[2020-12-02 21:32:05,641]-[util.py]-[INFO]:[3条用例添加成功]
[2020-12-02 21:32:12,599]-[util.py]-[INFO]:[3条用例添加成功]
[2020-12-02 21:32:16,698]-[util.py]-[INFO]:[关闭浏览器]
[2020-12-02 21:33:36,335]-[util.py]-[INFO]:[打开浏览器并登录成功]
[2020-12-02 21:33:41,821]-[util.py]-[INFO]:[3条用例添加成功]
[2020-12-02 21:33:48,401]-[util.py]-[INFO]:[3条用例添加成功]
[2020-12-02 21:33:52,504]-[util.py]-[INFO]:[关闭浏览器]
[2020-12-02 21:34:59,008]-[util.py]-[INFO]:[打开浏览器并登录成功]
[2020-12-02 21:35:03,822]-[util.py]-[INFO]:[3条用例添加成功]
[2020-12-02 21:35:10,928]-[util.py]-[INFO]:[3条用例添加成功]
[2020-12-02 21:35:13,059]-[util.py]-[INFO]:[关闭浏览器]
[2020-12-02 21:38:03,603]-[util.py]-[INFO]:[打开浏览器并登录成功]
[2020-12-02 21:38:08,698]-[util.py]-[INFO]:[3条用例添加成功]
[2020-12-02 21:38:16,372]-[util.py]-[INFO]:[3条用例添加成功]
[2020-12-02 21:38:20,530]-[util.py]-[INFO]:[关闭浏览器]
[2020-12-02 21:39:10,118]-[util.py]-[INFO]:[打开浏览器并登录成功]
[2020-12-02 21:39:15,623]-[util.py]-[INFO]:[3条用例添加成功]
[2020-12-02 21:39:21,638]-[util.py]-[INFO]:[3条用例添加成功]
[2020-12-02 21:39:22,969]-[util.py]-[INFO]:[关闭浏览器]
[2020-12-02 21:42:21,444]-[util.py]-[INFO]:[打开浏览器并登录成功]
[2020-12-02 21:42:23,816]-[util.py]-[INFO]:[关闭浏览器]
[2020-12-02 21:43:44,225]-[util.py]-[INFO]:[打开浏览器并登录成功]
